Date,Open,High,Low,Close,Volume,Adj Close
2015-09-21,204.350006,205.789993,203.190002,204.350006,964700,202.856749
2015-09-18,206.00,206.029999,202.649994,203.309998,3010600,201.82434
2015-09-17,207.850006,210.529999,207.130005,207.600006,958900,206.083
2015-09-16,207.639999,208.190002,206.330002,207.559998,927800,206.043284
2015-09-15,206.380005,208.539993,205.509995,207.839996,1253700,206.321237
2015-09-14,207.029999,207.029999,205.559998,206.00,1034300,204.494686
2015-09-11,205.809998,206.960007,205.330002,206.809998,1085500,205.298764
2015-09-10,203.710007,207.289993,203.710007,206.149994,1370200,204.643584
2015-09-09,209.00,209.240005,204.520004,204.660004,1110300,203.164481
2015-09-08,204.179993,207.289993,204.00,207.009995,1320700,205.4973
2015-09-04,203.539993,204.339996,201.410004,202.619995,1213100,201.13938
2015-09-03,204.690002,206.460007,204.320007,205.199997,1350900,203.700529
2015-09-02,199.690002,204.119995,199.279999,204.039993,1490600,202.549002
2015-09-01,197.869995,199.589996,197.020004,197.619995,1673700,196.175917
2015-08-31,203.210007,203.240005,201.080002,201.179993,1086800,199.7099
2015-08-28,203.630005,204.479996,201.380005,203.899994,1391200,202.410025
2015-08-27,203.919998,206.940002,202.910004,205.429993,1688100,202.439805
2015-08-26,203.229996,203.229996,196.850006,202.119995,2933800,199.177987
2015-08-25,205.50,205.509995,198.550003,198.979996,2100600,196.083692
2015-08-24,190.009995,203.270004,181.910004,197.460007,3308700,194.585828
2015-08-21,208.559998,208.839996,204.570007,204.679993,2038500,201.700721
2015-08-20,210.979996,211.50,209.130005,209.130005,1405700,206.08596
2015-08-19,211.960007,212.910004,210.669998,211.279999,1302600,208.204659
2015-08-18,212.360001,213.339996,212.139999,212.669998,774500,209.574426
2015-08-17,210.880005,213.119995,210.770004,213.020004,776300,209.919338
2015-08-14,209.75,212.080002,209.330002,211.960007,916000,208.874769
2015-08-13,208.729996,210.710007,208.690002,209.789993,1091200,206.736342
2015-08-12,207.539993,209.320007,206.75,208.779999,917900,205.741049
2015-08-11,209.050003,209.759995,207.899994,208.860001,985800,205.819886
2015-08-10,210.039993,211.570007,209.339996,210.779999,978500,207.711937
2015-08-07,209.00,209.389999,207.220001,209.089996,997500,206.046534
2015-08-06,209.729996,209.940002,208.160004,209.259995,1147900,206.214058
2015-08-05,210.020004,210.75,209.070007,209.429993,1209900,206.381582
2015-08-04,208.509995,209.789993,207.25,209.529999,1066100,206.480132
2015-08-03,207.270004,207.990005,206.059998,207.789993,1064200,204.765454
2015-07-31,207.610001,208.509995,206.529999,207.100006,1116800,204.08551
2015-07-30,207.220001,208.50,205.949997,206.470001,1554700,203.464675
2015-07-29,204.770004,210.410004,204.309998,208.149994,2491000,205.120214
2015-07-28,202.419998,204.720001,201.279999,203.630005,1125300,200.666017
2015-07-27,200.360001,201.759995,199.380005,201.169998,997600,198.241818
2015-07-24,202.800003,202.940002,200.679993,201.039993,1124800,198.113705
2015-07-23,202.809998,204.960007,202.639999,202.830002,1175100,199.877659
2015-07-22,203.330002,204.440002,202.00,202.789993,1124200,199.838232
2015-07-21,204.440002,204.759995,202.850006,203.149994,1767000,200.192993
2015-07-20,202.309998,205.389999,201.029999,205.130005,2052000,202.144183
2015-07-17,200.929993,201.660004,200.399994,201.179993,997900,198.251667
2015-07-16,199.800003,201.809998,199.600006,201.619995,975600,198.685264
2015-07-15,199.190002,199.639999,198.059998,199.410004,972200,196.507441
2015-07-14,198.899994,199.820007,198.360001,199.050003,1059200,196.152681
2015-07-13,196.00,198.389999,195.610001,197.880005,1197200,194.999713
2015-07-10,193.990005,197.00,192.869995,194.190002,1638900,191.363421
2015-07-09,191.759995,193.119995,191.210007,192.130005,1442100,189.333408
2015-07-08,188.509995,191.330002,188.289993,190.050003,1528200,187.283682
2015-07-07,188.570007,190.279999,187.539993,190.160004,1328500,187.392082
2015-07-06,186.729996,188.479996,186.419998,187.990005,902600,185.25367
2015-07-02,188.710007,188.789993,186.759995,187.300003,1024500,184.573711
2015-07-01,186.009995,188.289993,186.009995,188.169998,950000,185.431042
2015-06-30,187.169998,187.789993,185.330002,185.899994,1275200,183.19408
2015-06-29,187.589996,188.520004,185.410004,185.520004,1202600,182.819621
2015-06-26,190.529999,190.559998,188.509995,188.639999,1876300,185.894202
2015-06-25,190.50,191.169998,189.679993,189.990005,884900,187.224558
2015-06-24,191.220001,191.789993,190.119995,190.169998,857600,187.401931
2015-06-23,192.429993,192.949997,190.880005,191.639999,572900,188.850535
